Hint Count,Example Count,Average Ratio,Max Ratio,Min Ratio
1,0,0,0,99999
2,0,0,0,99999
3,0,0,0,99999
4,0,0,0,99999
5,0,0,0,99999
6,0,0,0,99999
7,0,0,0,99999
8,0,0,0,99999
9,0,0,0,99999
10,0,0,0,99999
11,0,0,0,99999
12,0,0,0,99999
13,0,0,0,99999
14,0,0,0,99999
15,0,0,0,99999
16,0,0,0,99999
17,0,0,0,99999
18,0,0,0,99999
19,0,0,0,99999
20,0,0,0,99999
21,0,0,0,99999
22,0,0,0,99999
23,2,0.5144795005432212,0.5348932926410194,0.49406570844542297
24,16,0.37060511469405566,1.5787074939020789,0.00878010918846176
25,0,0,0,99999
26,8,0.42126950504053895,0.5998597876147077,0.13882383749205043
27,166,0.45782256417595824,2.7124332968312737,0.007499222273275608
28,110,0.5995603601185482,10.678608892116518,0.0027864445824113513
29,79,0.7846495862932683,8.230961298377029,0.04258351938041666
30,15,0.852163043565606,2.0608895494797848,0.10531369547746837
31,2,0.44558821664554116,0.5556638924614052,0.33551254082967713
32,0,0,0,99999
33,0,0,0,99999
34,1,9.551904117533347,9.551904117533347,9.551904117533347
35,0,0,0,99999
36,0,0,0,99999
37,0,0,0,99999
38,1,47.67149321266968,47.67149321266968,47.67149321266968
39,0,0,0,99999
40,0,0,0,99999
41,0,0,0,99999
42,0,0,0,99999
43,0,0,0,99999
44,0,0,0,99999
45,0,0,0,99999
46,0,0,0,99999
47,0,0,0,99999
48,0,0,0,99999
49,0,0,0,99999
50,0,0,0,99999
51,0,0,0,99999
52,0,0,0,99999
53,0,0,0,99999
54,0,0,0,99999
55,0,0,0,99999
56,0,0,0,99999
57,0,0,0,99999
58,0,0,0,99999
59,0,0,0,99999
60,0,0,0,99999
61,0,0,0,99999
62,0,0,0,99999
63,0,0,0,99999
64,0,0,0,99999
65,0,0,0,99999
66,0,0,0,99999
67,0,0,0,99999
68,0,0,0,99999
69,0,0,0,99999
70,0,0,0,99999
71,0,0,0,99999
72,0,0,0,99999
73,0,0,0,99999
74,0,0,0,99999
75,0,0,0,99999
76,0,0,0,99999
77,0,0,0,99999
78,0,0,0,99999
79,0,0,0,99999
80,0,0,0,99999
81,0,0,0,99999
