Hint Count,Example Count,Average Backtrack,Max Backtrack,Min Backtrack,Average AC3,Max AC3,Min AC3,Average AC3 Backtrack,Max AC3 Backtrack,Min AC3 Backtrack,Average Combined,Max Combined,Min Combined
1,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
2,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
3,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
4,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
5,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
6,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
7,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
8,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
9,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
10,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
11,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
12,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
13,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
14,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
15,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
16,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
17,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
18,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
19,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
20,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
21,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
22,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
23,2,2.6788452863693237,4.716376304626465,0.6413142681121826,0.03041672706604004,0.03050088882446289,0.030332565307617188,1.441030502319336,2.553510904312134,0.3285501003265381,1.471447229385376,2.5840117931365967,0.3588826656341553
24,16,45.00164955854416,411.6210820674896,0.028020143508911133,0.03097689151763916,0.032670021057128906,0.030048608779907227,9.92164632678032,106.97411322593689,0.012169122695922852,9.952623218297958,2.1500778198242188,0.04513812065124512
25,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
26,8,4.028987258672714,16.99586772918701,0.22620153427124023,0.030832558870315552,0.032274723052978516,0.02978968620300293,2.077373594045639,9.68784761428833,0.011267662048339844,2.1082061529159546,9.717637300491333,0.04354238510131836
27,166,3.1806958784540016,45.87966966629028,0.013388872146606445,0.03158231241157256,0.052752017974853516,0.029052257537841797,0.8642982747181353,19.64091467857361,0.002363920211791992,0.8958805871297078,19.67078685760498,0.041738271713256836
28,110,2.124104876951738,38.43802094459534,0.002928018569946289,0.03120139945637096,0.03445839881896973,0.028855562210083008,0.5605058821764859,8.949711561203003,0.0006206035614013672,0.5917072816328569,1.358015537261963,0.03197002410888672
29,79,1.4758856387078008,28.894930362701416,0.003950834274291992,0.030976621410514736,0.03397798538208008,0.029447555541992188,0.46277871614770044,6.7354278564453125,0.0018620491027832031,0.49375533755821516,6.765810012817383,0.03777146339416504
30,15,0.2392385164896647,0.6595537662506104,0.017547130584716797,0.031008529663085937,0.03279590606689453,0.030062437057495117,0.06693970362345378,0.24953722953796387,0.006733417510986328,0.09794823328653972,0.09462738037109375,0.0397641658782959
31,2,0.8122491836547852,1.2815561294555664,0.3429422378540039,0.030146360397338867,0.030434131622314453,0.02985858917236328,0.3853163719177246,0.6854157447814941,0.08521699905395508,0.4154627323150635,0.7152743339538574,0.11565113067626953
32,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
33,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
34,1,0.0036935806274414062,0.0036935806274414062,0.0036935806274414062,0.03584456443786621,0.03584456443786621,0.03584456443786621,0.0004127025604248047,0.0004127025604248047,0.0004127025604248047,0.036257266998291016,0.036257266998291016,0.036257266998291016
35,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
36,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
37,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
38,1,0.0007822513580322266,0.0007822513580322266,0.0007822513580322266,0.03774118423461914,0.03774118423461914,0.03774118423461914,4.172325134277344e-05,4.172325134277344e-05,4.172325134277344e-05,0.037782907485961914,0.037782907485961914,0.037782907485961914
39,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
40,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
41,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
42,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
43,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
44,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
45,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
46,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
47,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
48,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
49,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
50,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
51,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
52,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
53,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
54,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
55,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
56,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
57,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
58,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
59,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
60,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
61,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
62,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
63,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
64,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
65,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
66,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
67,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
68,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
69,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
70,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
71,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
72,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
73,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
74,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
75,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
76,0,0,0,99999,0,0,99999,0,0,99999,0,0,99999
